YYYYMMDD,hhmmss,unixtimestamp,gride_energy_import,grid_energy_export,grid_power,ev_energy_consumption_,ev_power_consumption,pv_energy_production,pv_power_production,hp_energy_consumption,hp_power_consumption
20150708,000410,1436306650000,2782.650,8614.410,0.094,693.270,0.016,10250.66,0.000,1887.910,0.038
20150708,000415,1436306655000,2782.650,8614.410,0.094,693.270,0.017,10250.66,0.000,1887.910,0.038
20150708,000420,1436306660000,2782.650,8614.410,0.094,693.270,0.016,10250.66,0.000,1887.910,0.038
20150708,000425,1436306665000,2782.650,8614.410,0.093,693.270,0.017,10250.66,0.000,1887.910,0.037
20150708,000430,1436306670000,2782.650,8614.410,0.094,693.270,0.017,10250.66,0.000,1887.910,0.038
20150708,000435,1436306675000,2782.650,8614.410,0.093,693.270,0.016,10250.66,0.000,1887.910,0.038
20150708,000440,1436306680000,2782.650,8614.410,0.094,693.270,0.016,10250.66,0.000,1887.910,0.038
20150708,000445,1436306685000,2782.650,8614.410,0.092,693.270,0.016,10250.66,0.000,1887.910,0.038
20150708,000450,1436306690000,2782.650,8614.410,0.094,693.270,0.016,10250.66,0.000,1887.910,0.038
20150708,000455,1436306695000,2782.650,8614.410,0.093,693.270,0.016,10250.66,0.000,1887.910,0.038
20150708,000500,1436306700000,2782.650,8614.410,0.094,693.270,0.017,10250.66,0.000,1887.910,0.037
20150708,000505,1436306705000,2782.650,8614.410,0.094,693.270,0.017,10250.66,0.000,1887.911,0.038
20150708,000510,1436306710000,2782.650,8614.410,0.094,693.270,0.016,10250.66,0.000,1887.911,0.038
20150708,000515,1436306715000,2782.650,8614.410,0.093,693.270,0.016,10250.66,0.000,1887.911,0.038
20150708,000520,1436306720000,2782.650,8614.410,0.093,693.270,0.016,10250.66,0.000,1887.911,0.038
20150708,000525,1436306725000,2782.650,8614.410,0.094,693.270,0.017,10250.66,0.000,1887.911,0.038
20150708,000530,1436306730000,2782.650,8614.410,0.093,693.270,0.016,10250.66,0.000,1887.911,0.038
20150708,000535,1436306735000,2782.650,8614.410,0.096,693.270,0.017,10250.66,0.000,1887.911,0.038
20150708,000540,1436306740000,2782.650,8614.410,0.093,693.270,0.016,10250.66,0.000,1887.911,0.037
20150708,000545,1436306745000,2782.650,8614.410,0.094,693.270,0.016,10250.66,0.000,1887.911,0.038
20150708,000550,1436306750000,2782.650,8614.410,0.093,693.270,0.017,10250.66,0.000,1887.911,0.038
20150708,000555,1436306755000,2782.650,8614.410,0.094,693.270,0.018,10250.66,0.000,1887.911,0.038
20150708,000600,1436306760000,2782.650,8614.410,0.095,693.270,0.016,10250.66,0.000,1887.911,0.038
20150708,000605,1436306765000,2782.650,8614.410,0.094,693.270,0.016,10250.66,0.000,1887.911,0.038
20150708,000610,1436306770000,2782.650,8614.410,0.093,693.270,0.017,10250.66,0.000,1887.911,0.038
20150708,000615,1436306775000,2782.650,8614.410,0.415,693.270,0.016,10250.66,0.000,1887.911,0.038
20150708,000620,1436306780000,2782.650,8614.410,0.157,693.270,0.016,10250.66,0.000,1887.911,0.038
20150708,000625,1436306785000,2782.650,8614.410,0.160,693.270,0.016,10250.66,0.000,1887.911,0.038
20150708,000630,1436306790000,2782.650,8614.410,0.161,693.270,0.017,10250.66,0.000,1887.911,0.038
20150708,000635,1436306795000,2782.650,8614.410,0.160,693.270,0.016,10250.66,0.000,1887.912,0.038
20150708,000640,1436306800000,2782.650,8614.410,0.160,693.270,0.017,10250.66,0.000,1887.912,0.038
20150708,000645,1436306805000,2782.650,8614.410,0.160,693.270,0.016,10250.66,0.000,1887.912,0.038
20150708,000650,1436306810000,2782.650,8614.410,0.160,693.270,0.016,10250.66,0.000,1887.912,0.038
20150708,000655,1436306815000,2782.650,8614.410,0.160,693.270,0.016,10250.66,0.000,1887.912,0.038
20150708,000700,1436306820000,2782.650,8614.410,0.160,693.270,0.017,10250.66,0.000,1887.912,0.038
20150708,000705,1436306825000,2782.650,8614.410,0.160,693.270,0.017,10250.66,0.000,1887.912,0.038
20150708,000710,1436306830000,2782.650,8614.410,0.160,693.270,0.017,10250.66,0.000,1887.912,0.038
20150708,000715,1436306835000,2782.650,8614.410,0.160,693.270,0.016,10250.66,0.000,1887.912,0.039
